t,<x^2>,Std Error of Mean,"F_s(q1,R(t))","F_s(q2,R(t))","F_s(q3,R(t))",StdErrorOfMeanRq1,StdErrorOfMeanRq2,StdErrorOfMeanRq3
275,265.393,17.2562,0.771939,-0.0336458,-0.00359278,0.012735,0.0288613,0.0289845
276,268.973,17.6445,0.769702,0.0332484,-0.00420275,0.0128745,0.0291679,0.0291689
277,268.44,17.623,0.770108,0.0149973,0.000505314,0.0128385,0.0282451,0.028951
278,271.187,17.8223,0.76815,0.0363347,0.00980107,0.012934,0.0287371,0.0289835
279,273.327,17.8377,0.766319,-0.0106696,-0.00767175,0.0130198,0.0288173,0.0291899
280,274.773,17.9632,0.765364,0.00101772,-0.00170307,0.0130877,0.0288725,0.0288466
281,273.627,17.9809,0.766372,0.00973579,0.00860006,0.0130067,0.0290501,0.0289991
282,272.48,17.8226,0.766969,0.037756,-0.0103554,0.0129341,0.0284212,0.0290796
283,274.533,17.9377,0.765396,0.0254802,0.00776538,0.0129702,0.0291094,0.0286496
284,276.307,18.1313,0.764327,0.00671809,-0.00927916,0.0130645,0.0284841,0.0288093
285,279.227,18.2508,0.762026,-0.0176404,0.00470025,0.0131523,0.0291699,0.0286495
286,282.533,18.1776,0.758936,6.09E-05,0.00655012,0.0132447,0.0282987,0.0284325
